Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
3.50E+00,4.40E+00,1.64E+01,-3.99E+01,4.33E+01
3.51E+00,4.28E+00,1.63E+01,-3.95E+01,4.29E+01
3.52E+00,4.26E+00,1.63E+01,-3.96E+01,4.31E+01
3.53E+00,4.20E+00,1.62E+01,-4.00E+01,4.34E+01
3.54E+00,4.25E+00,1.64E+01,-3.95E+01,4.30E+01
3.55E+00,4.26E+00,1.62E+01,-4.01E+01,4.35E+01
3.56E+00,4.33E+00,1.62E+01,-3.97E+01,4.31E+01
3.57E+00,4.24E+00,1.63E+01,-3.99E+01,4.33E+01
3.58E+00,4.38E+00,1.63E+01,-3.99E+01,4.33E+01
3.59E+00,4.45E+00,1.65E+01,-3.97E+01,4.32E+01
3.60E+00,4.63E+00,1.66E+01,-4.03E+01,4.38E+01
3.61E+00,4.68E+00,1.67E+01,-4.01E+01,4.36E+01
3.62E+00,4.97E+00,1.66E+01,-3.96E+01,4.32E+01
3.63E+00,4.83E+00,1.64E+01,-3.99E+01,4.34E+01
3.64E+00,4.81E+00,1.67E+01,-3.95E+01,4.32E+01
3.65E+00,4.55E+00,1.65E+01,-3.98E+01,4.33E+01
3.66E+00,4.80E+00,1.68E+01,-3.95E+01,4.33E+01
3.67E+00,4.85E+00,1.69E+01,-3.91E+01,4.28E+01
3.68E+00,4.85E+00,1.69E+01,-3.95E+01,4.32E+01
3.69E+00,4.72E+00,1.70E+01,-3.91E+01,4.29E+01
3.70E+00,4.82E+00,1.71E+01,-3.97E+01,4.35E+01
3.71E+00,4.73E+00,1.72E+01,-3.95E+01,4.33E+01
3.72E+00,4.85E+00,1.72E+01,-3.95E+01,4.34E+01
3.73E+00,5.14E+00,1.73E+01,-3.98E+01,4.37E+01
3.74E+00,4.89E+00,1.72E+01,-3.92E+01,4.31E+01
3.75E+00,4.86E+00,1.72E+01,-3.94E+01,4.32E+01
3.76E+00,4.78E+00,1.70E+01,-3.93E+01,4.31E+01
3.77E+00,4.80E+00,1.74E+01,-3.93E+01,4.32E+01
3.78E+00,4.80E+00,1.74E+01,-3.94E+01,4.33E+01
3.79E+00,4.78E+00,1.74E+01,-3.88E+01,4.28E+01
3.80E+00,5.08E+00,1.75E+01,-3.94E+01,4.34E+01
3.81E+00,5.13E+00,1.73E+01,-3.92E+01,4.32E+01
3.82E+00,5.01E+00,1.76E+01,-3.87E+01,4.28E+01
3.83E+00,5.01E+00,1.73E+01,-3.96E+01,4.35E+01
3.84E+00,4.75E+00,1.73E+01,-3.89E+01,4.29E+01
3.85E+00,4.89E+00,1.73E+01,-3.93E+01,4.32E+01
3.86E+00,4.90E+00,1.73E+01,-3.92E+01,4.31E+01
3.87E+00,4.58E+00,1.74E+01,-3.87E+01,4.26E+01
3.88E+00,4.65E+00,1.73E+01,-3.92E+01,4.31E+01
3.89E+00,4.84E+00,1.73E+01,-3.87E+01,4.26E+01
3.90E+00,4.66E+00,1.75E+01,-3.90E+01,4.30E+01
3.91E+00,4.74E+00,1.74E+01,-3.91E+01,4.30E+01
3.92E+00,4.77E+00,1.76E+01,-3.88E+01,4.29E+01
3.93E+00,4.72E+00,1.75E+01,-3.94E+01,4.34E+01
3.94E+00,4.68E+00,1.75E+01,-3.92E+01,4.32E+01
3.95E+00,4.58E+00,1.73E+01,-3.94E+01,4.33E+01
3.96E+00,4.72E+00,1.72E+01,-3.95E+01,4.33E+01
3.97E+00,4.78E+00,1.71E+01,-3.91E+01,4.29E+01
3.98E+00,4.85E+00,1.74E+01,-3.95E+01,4.34E+01
3.99E+00,4.76E+00,1.75E+01,-3.89E+01,4.30E+01
4.00E+00,4.60E+00,1.74E+01,-3.90E+01,4.29E+01
4.01E+00,4.54E+00,1.72E+01,-3.89E+01,4.28E+01
4.02E+00,4.64E+00,1.75E+01,-3.90E+01,4.29E+01
4.03E+00,4.73E+00,1.74E+01,-3.93E+01,4.33E+01
4.04E+00,4.75E+00,1.76E+01,-3.92E+01,4.32E+01
4.05E+00,4.54E+00,1.76E+01,-3.91E+01,4.31E+01
4.06E+00,4.72E+00,1.76E+01,-3.94E+01,4.34E+01
4.07E+00,4.53E+00,1.79E+01,-3.89E+01,4.31E+01
4.08E+00,4.49E+00,1.77E+01,-3.93E+01,4.33E+01
4.09E+00,4.39E+00,1.78E+01,-3.90E+01,4.31E+01
4.10E+00,4.55E+00,1.79E+01,-3.89E+01,4.31E+01
4.11E+00,4.60E+00,1.81E+01,-3.92E+01,4.34E+01
4.12E+00,4.40E+00,1.84E+01,-3.85E+01,4.29E+01
4.13E+00,4.22E+00,1.83E+01,-3.90E+01,4.33E+01
4.14E+00,4.13E+00,1.82E+01,-3.87E+01,4.30E+01
4.15E+00,4.33E+00,1.84E+01,-3.87E+01,4.31E+01
4.16E+00,4.73E+00,1.83E+01,-3.86E+01,4.30E+01
4.17E+00,4.49E+00,1.82E+01,-3.83E+01,4.27E+01
4.18E+00,4.46E+00,1.82E+01,-3.84E+01,4.28E+01
4.20E+00,4.28E+00,1.80E+01,-3.85E+01,4.27E+01
4.21E+00,4.30E+00,1.81E+01,-3.83E+01,4.26E+01
4.22E+00,4.52E+00,1.80E+01,-3.91E+01,4.33E+01
4.23E+00,4.30E+00,1.83E+01,-3.84E+01,4.28E+01
4.24E+00,4.54E+00,1.86E+01,-3.89E+01,4.33E+01
4.25E+00,4.65E+00,1.85E+01,-3.90E+01,4.34E+01
4.26E+00,4.53E+00,1.84E+01,-3.88E+01,4.32E+01
4.27E+00,4.43E+00,1.83E+01,-3.91E+01,4.34E+01
4.28E+00,4.45E+00,1.85E+01,-3.85E+01,4.29E+01
4.29E+00,4.46E+00,1.86E+01,-3.89E+01,4.34E+01
4.30E+00,4.60E+00,1.86E+01,-3.90E+01,4.34E+01
4.31E+00,4.52E+00,1.86E+01,-3.88E+01,4.32E+01
4.32E+00,4.36E+00,1.85E+01,-3.88E+01,4.32E+01
4.33E+00,4.26E+00,1.85E+01,-3.86E+01,4.31E+01
4.34E+00,4.12E+00,1.85E+01,-3.87E+01,4.31E+01
4.35E+00,4.35E+00,1.83E+01,-3.87E+01,4.30E+01
4.36E+00,4.45E+00,1.85E+01,-3.84E+01,4.28E+01
4.37E+00,4.73E+00,1.83E+01,-3.88E+01,4.32E+01
4.38E+00,4.37E+00,1.85E+01,-3.83E+01,4.27E+01
4.39E+00,4.26E+00,1.84E+01,-3.84E+01,4.28E+01
4.40E+00,4.52E+00,1.84E+01,-3.85E+01,4.29E+01
4.41E+00,4.62E+00,1.83E+01,-3.83E+01,4.27E+01
4.42E+00,4.35E+00,1.83E+01,-3.86E+01,4.29E+01
4.43E+00,4.53E+00,1.85E+01,-3.84E+01,4.28E+01
4.44E+00,4.27E+00,1.85E+01,-3.85E+01,4.30E+01
4.45E+00,4.37E+00,1.86E+01,-3.87E+01,4.31E+01
4.46E+00,4.30E+00,1.84E+01,-3.82E+01,4.27E+01
4.47E+00,4.44E+00,1.85E+01,-3.85E+01,4.29E+01
4.48E+00,4.49E+00,1.86E+01,-3.85E+01,4.30E+01
4.49E+00,4.66E+00,1.86E+01,-3.83E+01,4.28E+01
4.50E+00,4.64E+00,1.89E+01,-3.87E+01,4.33E+01
4.51E+00,4.71E+00,1.88E+01,-3.86E+01,4.31E+01
4.52E+00,4.86E+00,1.87E+01,-3.87E+01,4.32E+01
4.53E+00,4.58E+00,1.87E+01,-3.85E+01,4.30E+01
4.54E+00,4.54E+00,1.89E+01,-3.83E+01,4.29E+01
4.55E+00,4.39E+00,1.87E+01,-3.82E+01,4.28E+01
4.56E+00,4.04E+00,1.85E+01,-3.79E+01,4.24E+01
4.57E+00,3.99E+00,1.86E+01,-3.86E+01,4.30E+01
4.58E+00,3.96E+00,1.87E+01,-3.83E+01,4.28E+01
4.59E+00,4.06E+00,1.89E+01,-3.87E+01,4.32E+01
4.60E+00,4.45E+00,1.87E+01,-3.86E+01,4.31E+01
4.61E+00,4.42E+00,1.85E+01,-3.85E+01,4.29E+01
4.62E+00,4.29E+00,1.88E+01,-3.87E+01,4.32E+01
4.63E+00,4.58E+00,1.89E+01,-3.88E+01,4.34E+01
4.64E+00,4.50E+00,1.91E+01,-3.83E+01,4.30E+01
4.65E+00,4.49E+00,1.87E+01,-3.88E+01,4.33E+01
4.66E+00,4.30E+00,1.87E+01,-3.81E+01,4.27E+01
4.67E+00,4.42E+00,1.87E+01,-3.86E+01,4.32E+01
4.68E+00,4.21E+00,1.89E+01,-3.84E+01,4.30E+01
4.69E+00,4.27E+00,1.88E+01,-3.84E+01,4.30E+01
4.70E+00,4.51E+00,1.89E+01,-3.89E+01,4.35E+01
4.71E+00,4.26E+00,1.92E+01,-3.80E+01,4.28E+01
4.72E+00,4.30E+00,1.89E+01,-3.86E+01,4.32E+01
4.73E+00,4.41E+00,1.90E+01,-3.84E+01,4.31E+01
4.74E+00,4.37E+00,1.91E+01,-3.82E+01,4.29E+01
4.75E+00,4.56E+00,1.88E+01,-3.86E+01,4.32E+01
4.76E+00,4.78E+00,1.89E+01,-3.81E+01,4.28E+01
4.77E+00,4.50E+00,1.86E+01,-3.82E+01,4.27E+01
4.78E+00,4.68E+00,1.86E+01,-3.80E+01,4.25E+01
4.79E+00,4.49E+00,1.90E+01,-3.78E+01,4.26E+01
4.80E+00,4.67E+00,1.91E+01,-3.83E+01,4.31E+01
4.81E+00,4.70E+00,1.92E+01,-3.81E+01,4.30E+01
4.82E+00,4.56E+00,1.88E+01,-3.81E+01,4.28E+01
4.83E+00,4.46E+00,1.89E+01,-3.83E+01,4.30E+01
4.84E+00,4.61E+00,1.89E+01,-3.79E+01,4.26E+01
4.85E+00,4.75E+00,1.89E+01,-3.86E+01,4.32E+01
4.86E+00,4.50E+00,1.88E+01,-3.84E+01,4.30E+01
4.87E+00,4.61E+00,1.87E+01,-3.82E+01,4.28E+01
4.88E+00,4.60E+00,1.90E+01,-3.85E+01,4.32E+01
4.89E+00,4.44E+00,1.90E+01,-3.80E+01,4.27E+01
4.90E+00,4.63E+00,1.89E+01,-3.85E+01,4.31E+01
4.91E+00,4.51E+00,1.89E+01,-3.79E+01,4.26E+01
4.92E+00,4.64E+00,1.90E+01,-3.78E+01,4.26E+01
4.93E+00,4.73E+00,1.87E+01,-3.78E+01,4.25E+01
4.94E+00,4.67E+00,1.87E+01,-3.77E+01,4.24E+01
4.95E+00,4.75E+00,1.86E+01,-3.76E+01,4.23E+01
4.96E+00,4.74E+00,1.88E+01,-3.76E+01,4.23E+01
4.97E+00,4.74E+00,1.90E+01,-3.76E+01,4.24E+01
4.98E+00,4.75E+00,1.90E+01,-3.81E+01,4.28E+01
